primary_isbn13,ol_author_name,ol_publisher,ol_languages,ol_ebook_access,ol_has_fulltext,ol_public_scan,ol_internet_archive_ids,ol_edition_count,ol_number_of_pages,is_series,series_name,author_total_works,author_birth_date,ol_subjects,ol_first_publish_year
9781416591061,S. C. Gwynne,Scribner,['eng'],printdisabled,True,False,['empireofsummermo00gwyn'],6.0,371.0,False,,4,1953,"['New York Times bestseller', 'nyt:paperback_nonfiction=2011-05-07', 'Kings and rulers', 'Comanche Indians', 'Frontier and pioneer life', 'Race relations', 'Wars', 'Biography', 'History', 'Parker, quanah, 1845?-1911']",2010.0
9781538773963,Patricia Cornwell,"Grand Central Publishing, a division of Hachette Book Group",['eng'],no_ebook,False,False,[],4.0,396.0,True,"{'series': {'key': '/series/OL334858L'}, 'position': '29'}",100,1956,['American literature'],2025.0
9781250370822,Nora Roberts,St. Martin's Press,['eng'],no_ebook,False,False,[],3.0,370.0,False,,100,"October 10, 1950","['Mystery', 'Romance', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Romantic Suspense', 'Futuristic', 'Science Fiction', 'American literature']",2025.0
9781556520747,Assata Shakur,L. Hill Books,['eng'],borrowable,True,False,"['assataautobiogra00shak', 'assataautobiogra00assa']",27.0,274.0,False,,8,16 July 1947,"['Black Panther Party', 'Open Library Staff Picks', 'Black nationalism', 'Race relations', 'Black Feminism', 'Racism', 'African Americans', 'Biography', 'New York Times reviewed', 'African American women political activists']",1987.0
9781510782693,Melania Trump,"Skyhorse Publishing Company, Incorporated",['eng'],no_ebook,False,False,[],5.0,312.0,False,,1,,[],2024.0
9780593374207,Holly Jackson,Delacorte Press,['eng'],no_ebook,False,False,[],16.0,438.0,False,,10,1992,"[""Children's fiction"", 'nyt:young-adult-hardcover=2024-04-21', 'New York Times bestseller', 'Suspense', 'Thriller', 'Young Adult Fiction', 'Young Adult', 'audience:Young Adult']",2024.0
9780593834459,Ashley Elston,Penguin Publishing Group,[],no_ebook,False,False,[],1.0,,False,,11,,[],2026.0
9781665983235,Jenny Han,Simon & Schuster Books For Young Readers,['eng'],no_ebook,False,False,[],1.0,304.0,False,,5,,[],2025.0
9780553537864,Suzanne Lang,Random House Children's Books,['eng'],no_ebook,False,False,[],4.0,32.0,False,,73,,"['Animals', 'Friendship', 'Chimpanzees', 'Mood (Psychology)', 'Fiction', ""Children's fiction"", 'Chimpanzees, fiction', 'Animals, fiction', 'Friendship, fiction', 'nyt:picture-books=2018-12-30']",2018.0
9780063357112,Erin Hunter,HarperCollins Publishers,['eng'],no_ebook,False,False,[],2.0,320.0,False,,100,,[],2025.0
9781665946544,Scott Reintgen,Simon & Schuster Children's Publishing,['eng'],no_ebook,False,False,[],4.0,432.0,False,,21,,[],2025.0
9781974710027,Gege Akutami,VIZ Media LLC,['eng'],no_ebook,False,False,[],2.0,192.0,True,"{'series': {'key': '/series/OL329604L'}, 'position': '1'}",42,1992-02-26,"['nyt:graphic-books-and-manga=2021-02-07', 'New York Times bestseller']",2019.0
9780593597408,Tina Knowles,Random House Publishing Group,['eng'],no_ebook,False,False,[],3.0,432.0,False,,4,1954,[],2025.0
9781338849912,Tiffany D. Jackson,Scholastic,[],no_ebook,False,False,[],1.0,,False,,18,,[],2025.0
9780593800782,Toni Chapman,"Crown Publishing Group, The",['eng'],no_ebook,False,False,[],1.0,,False,,1,,['Home economics'],2025.0
9781534470811,Julie Berry,Simon & Schuster Books For Young Readers,['eng'],no_ebook,False,False,[],2.0,448.0,False,,33,,[],2025.0
9781250076960,Leigh Bardugo,Square Fish,"['tur', 'rus', 'fre', 'eng', 'ger', 'por', 'ukr']",printdisabled,True,False,"['sixofcrows0000leig', 'sixofcrows0000bard_i3c5', 'sixofcrows0000bard']",37.0,496.0,True,"{'series': {'key': '/series/OL331108L'}, 'position': '1'}",40,6 Apr 1975,"['Young adult fiction', 'Fantasy fiction', 'Fiction', 'Young adult works', 'Juvenile works', 'Science fiction', 'Juvenile fiction', 'LGBTQ novels', 'YA fiction', 'mystery']",2015.0
9781534465886,Aaron Reynolds,Simon & Schuster Books For Young Readers,['eng'],no_ebook,False,False,[],4.0,,False,,59,1970,"[""Children's fiction"", 'nyt:picture-books=2022-09-11', 'New York Times bestseller']",2022.0
9780316597456,Plestia Alaqad,Little Brown & Company,['eng'],no_ebook,False,False,[],2.0,224.0,False,,2,,[],2025.0
9780316581097,Peter Brown,"Little, Brown Books for Young Readers",['eng'],printdisabled,True,False,['wildrobot0000brow'],19.0,,False,,88,,"['Juvenile Fiction', 'juvenile literature', 'Animals', 'JUVENILE FICTION / Robots', 'JUVENILE FICTION / Animals / Bears', 'Robots', 'Fiction', 'JUVENILE FICTION / Animals / General', 'JUVENILE FICTION / Action & Adventure / Survival Stories', 'Islands']",2016.0
9780764243783,Kate Strickler,Bethany House,['eng'],no_ebook,False,False,[],1.0,192.0,False,,1,,"['Theology, practical']",2025.0
9780593412701,Bessel van der Kolk,Penguin Audio,['eng'],printdisabled,True,False,"['bodykeepsscorebr0000vand', 'isbn_9780143127741']",20.0,,False,,13,1943,"['Post-traumatic stress disorder', 'Treatment', 'Therapie', 'Physiopathology', 'Posttraumatisches Stresssyndrom', 'Neurowissenschaften', 'Therapy', 'Körpererfahrung', 'Psychisches Trauma', 'Stress Disorders, Post-Traumatic']",2014.0
9781982179984,J.r. Ward,Gallery Books,['eng'],no_ebook,False,False,[],1.0,384.0,False,,3,,[],2025.0
9781546129950,J. K. Rowling,"Scholastic, Incorporated",['eng'],no_ebook,False,False,[],1.0,,False,,100,31 July 1965,[],2024.0
9780593296967,Andrew Ross Sorkin,Penguin Publishing Group,['eng'],no_ebook,False,False,[],3.0,592.0,False,,3,,[],2025.0
9780060959470,bell hooks,Harper Paperbacks,['eng'],printdisabled,True,False,['allaboutlove00bell'],10.0,239.0,False,,69,25 September 1952,"['Feminist ethics', 'Love', 'SOCIAL SCIENCE', 'Popular Culture', 'African American Studies', 'Interpersonal Relations', 'Ethnic Studies', 'PSYCHOLOGY', 'nyt:paperback-nonfiction=2021-03-14', 'New York Times bestseller']",2000.0
9781250324603,Sarah Beth Durst,"Doherty Associates, LLC, Tom",['eng'],no_ebook,False,False,[],8.0,400.0,False,,54,,"['nyt:hardcover-fiction=2024-07-28', 'New York Times bestseller', 'cozy fantasy']",2024.0
9780735213623,James Nestor,Penguin Publishing Group,['eng'],no_ebook,False,False,[],10.0,368.0,False,,5,,"['Breathing exercises', 'Respiration', 'nyt:combined-print-and-e-book-nonfiction=2020-06-14', 'New York Times bestseller', 'Yoga', 'Respiratory Physiological Phenomena']",2020.0
9780593797457,Megan McNamee,Potter/Ten Speed/Harmony/Rodale,['eng'],no_ebook,False,False,[],3.0,,False,,2,,"['nyt:advice-how-to-and-miscellaneous=2024-09-15', 'New York Times bestseller']",2024.0
9781665954884,Lauren Roberts,Simon & Schuster Books For Young Readers,['eng'],no_ebook,False,False,[],13.0,,False,,17,,"['Fiction, fantasy, general', 'Fiction, romance, general', 'Fiction, general']",2023.0
9781668088647,James J. Cramer,"Simon & Schuster, Limited",['eng'],no_ebook,False,False,[],2.0,320.0,False,,12,,[],2025.0
9780063375130,Lucy Adlington,HarperCollins Publishers,['eng'],no_ebook,False,False,[],3.0,336.0,False,,15,,[],2025.0
9781464247866,Elsie Silver,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],3.0,464.0,False,,21,,[],2025.0
9780593581964,Sally McKenney,Potter/Ten Speed/Harmony/Rodale,['eng'],no_ebook,False,False,[],1.0,288.0,False,,7,,['Home economics'],2025.0
9780593800393,,Penguin Random House NZ,[],no_ebook,False,False,[],1.0,,False,,0,,[],
9781250373625,J. R. Ward,Bramble,['eng'],no_ebook,False,False,[],1.0,480.0,False,,100,1969,"['Fantasy', 'Romantasy', 'Romance', 'Fantasy Romance', 'Adult', 'Magic', 'Forced Proximity', 'Dragons', 'Fiction']",2026.0
