primary_isbn13,nyt_title,nyt_author,nyt_published_date
9780823458097,"A POTION, A POWDER, A LITTLE BIT OF MAGIC",Philip Stead,2026-05-10
9798217051748,MEI MEI THE BUNNY,Laufey,2026-05-10
9781250814388,HEDGEHOGS DON'T WEAR UNDERWEAR,Marissa Valdez,2026-05-10
9781665954891,THE POWERLESS TRILOGY,Lauren Roberts,2026-05-10
9780544824386,THE WAY THINGS WORK: NEWLY REVISED EDITION,David Macaulay,2026-05-10
9781400349692,THE KING IS COMING,John Bevere,2026-05-10
9780062562982,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,2026-05-10
9781797187266,DON'T BELIEVE EVERYTHING YOU THINK,Joseph Nguyen,2026-05-10
9780525641544,THE LAWS OF HUMAN NATURE,Robert Greene,2026-05-10
9798217170050,THE FOUR AGREEMENTS,Don Miguel Ruiz with Janet Mills,2026-05-10
DBKACX0080693,THE 5 SECOND RULE,Mel Robbins,2026-05-10
9781781102688,HARRY POTTER AND THE HALF-BLOOD PRINCE,J.K. Rowling,2026-05-10
9781781102671,HARRY POTTER AND THE ORDER OF THE PHOENIX,J.K. Rowling,2026-05-10
9781781102664,HARRY POTTER AND THE GOBLET OF FIRE,J.K. Rowling,2026-05-10
9798225033743,THE HYBRID PRINCE,Tui T. Sutherland,2026-05-10
9781668653685,JUDGE STONE,Viola Davis and James Patterson,2026-05-10
9798349114472,DEAR DEBBIE,Freida McFadden,2026-05-10
9781490676623,A COURT OF THORNS AND ROSES,Sarah J. Maas,2026-05-10
9780063425354,YOU BETTER BELIEVE I'M GONNA TALK ABOUT IT,Lisa Rinna,2026-05-10
9781668653418,"KIDS, WAIT TILL YOU HEAR THIS!","Liza Minnelli, as told to Michael Feinstein, with Josh Getlin and Heidi Evans",2026-05-10
9780063429123,GETTING NAKED,Valerie Bertinelli,2026-05-10
9781668138182,TOLD YOU SO,Mayci Neeley,2026-05-10
9798217058921,STREETWISE,Lloyd Blankfein,2026-05-10
9781982134594,APPLE,David Pogue,2026-05-10
9780593296967,1929,Andrew Ross Sorkin,2026-05-10
9780593652886,THE CREATIVE ACT,Rick Rubin with Neil Strauss,2026-05-10
9780593799666,RUNNIN' DOWN A DREAM,Bill Gurley with Michael J. Mooney,2026-05-10
9781974762231,"CHAINSAW MAN, VOL. 20",Tatsuki Fujimoto,2026-05-10
9781974762286,"ONE PIECE, VOL. 111",Eiichiro Oda,2026-05-10
9781974762248,"DRAGON BALL SUPER, VOL. 24",Akira Toriyama,2026-05-10
9781339001296,DARKSTALKER,Tui T. Sutherland,2026-05-10
9781338896459,BIG JIM BEGINS,Dav Pilkey,2026-05-10
9781974762255,"JOJO'S BIZARRE ADVENTURE, PART 7—STEEL BALL RUN, VOL. 6",Hirohiko Araki,2026-05-10
9780063203938,WARRIORS: THE PROPHECIES BEGIN #3,Erin Hunter,2026-05-10
9781534467576,ALONE,Megan E. Freeman,2026-05-10
9781665932547,THE SHERLOCK SOCIETY,James Ponti,2026-05-10
9781982178970,ONCE UPON A TIME,Elizabeth Beller,2026-05-10
9798888904510,THE BEGINNING COMES AFTER THE END,Rebecca Solnit,2026-05-10
9780062370266,BORN SURVIVORS,Wendy Holden,2026-05-10
9798898550080,WE DID NOT CARE,Brian Nemhauser,2026-05-10
9781250323835,THE FALL OF IRIS HENLEY,Jennifer Graham,2026-05-10
9781250895646,DON'T LET THE FOREST IN,CG Drews,2026-05-10
9780385751537,THE BOY IN THE STRIPED PAJAMAS,John Boyne,2026-05-10
9781538758052,HOPE RISES,David Baldacci,2026-05-03
9780316525633,THE FAITH OF BEASTS,James S.A. Corey,2026-05-03
9780593852071,REVENGE PREY,John Sandford,2026-05-03
9780778306085,THE AUCTION,Sadie Kincaid,2026-05-03
9781668087534,POISONED IVIES,Elise Stefanik,2026-05-03
9781668226957,INTO THE WOOD CHIPPER,Nicholas Enrich,2026-05-03
9781400252985,GHOSTS OF SICILY,Mark Harmon and Leon Carroll Jr,2026-05-03
9781668092927,THE STORY OF US,Olivia Levin,2026-05-03
9780316525671,THE FAITH OF BEASTS,James S.A. Corey,2026-05-03
9780593852064,REVENGE PREY,John Sandford,2026-05-03
9781250337818,MY HUSBAND'S WIFE,Alice Feeney,2026-05-03
9780063380264,CHERRY BABY,Rainbow Rowell,2026-05-03
9781668068809,RORY,Alan Shipnuck,2026-05-03
9781682816431,HANS,S.J. Tilly,2026-05-03
9781464252075,TWISTED PAWN,L.J. Shen,2026-05-03
9780593975350,THE TEMPEST BLADE,Danielle L. Jensen,2026-05-03
9780778305637,I CHOOSE ME,Jennie Garth,2026-05-03
9781638933496,TAKE IT PERSONAL,David Grutman,2026-05-03
9780803736801,DRAGONS LOVE TACOS,Adam Rubin,2026-05-03
9781335014115,I COULD GIVE YOU THE MOON,Ann Liang,2026-05-03
9781665988698,BETH IS DEAD,Katie Bernet,2026-05-03
9781464252068,TWISTED PAWN,L.J. Shen,2026-04-26
9781250339881,BLOODSINGER,Juliette Cross,2026-04-26
9780593229453,HERE WHERE WE LIVE IS OUR COUNTRY,Molly Crabapple,2026-04-26
9780760391884,CONCRETE BOTANY,Joey Santore,2026-04-26
9781335013279,PHASES,Brandy with Gerrick Kennedy,2026-04-26
9780063440135,HOMESICK NOMAD,Brianna Madia,2026-04-26
9781668033104,THIS LAND IS YOUR LAND,Beverly Gage,2026-04-26
9780593871430,STRIXHAVEN: OMENS OF CHAOS,Seanan McGuire,2026-04-26
